index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz]
1, 2023/10/17 23:40:35.545, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:40:35.546, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:40:35.548, 64.33 W, 1425 MHz, 877 MHz, 1425 MHz
0, 2023/10/17 23:40:45.550, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:40:45.552, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:40:45.554, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:40:45.556, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:40:55.559, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:40:55.561, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:40:55.562, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:40:55.564, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:41:05.567, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:41:05.569, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:41:05.571, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:41:05.572, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:41:15.574, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:41:15.576, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:41:15.578, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:41:15.580, 73.57 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:41:25.582, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:41:25.584, 42.06 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:41:25.586, 42.95 W, 135 MHz, 877 MHz, 135 MHz
3, 2023/10/17 23:41:25.588, 71.62 W, 1530 MHz, 877 MHz, 1530 MHz
0, 2023/10/17 23:41:35.590, 57.07 W, 1290 MHz, 877 MHz, 1290 MHz
1, 2023/10/17 23:41:35.592, 42.09 W, 135 MHz, 877 MHz, 135 MHz
2, 2023/10/17 23:41:35.593, 42.98 W, 135 MHz, 877 MHz, 135 MHz
